VOC,Temperature,Humidity,VQI,label,status
0.024,26.4,64,85.19774770373265,1,Moderate
0.024,26.4,64,85.19774770373265,1,Moderate
0.024,26.4,64,85.19774770373265,1,Moderate
0.024,26.4,64,85.19774770373265,1,Moderate
0.024,26.3,64,84.60951240961501,1,Moderate
0.0226,26.3,64,84.9486596964367,1,Moderate
0.0226,26.3,65,85.66294541072243,1,Moderate
0.0226,26.3,65,85.66294541072243,1,Moderate
0.0226,26.3,64,84.9486596964367,1,Moderate
0.0226,26.4,64,85.53689499055434,1,Moderate
0.0212,26.3,64,85.28780698325842,1,Moderate
0.02,26.3,65,86.29279037196274,1,Moderate
0.0301,26.3,65,83.84608494560615,1,Moderate
0.0269,26.3,65,84.62127874405576,1,Moderate
0.0269,26.3,65,84.62127874405576,1,Moderate
0.0269,26.3,65,84.62127874405576,1,Moderate
0.0285,26.5,65,85.41015243306624,1,Moderate
0.0254,26.5,65,86.16112142531432,1,Moderate
0.0254,26.5,65,86.16112142531432,1,Moderate
0.0254,26.5,65,86.16112142531432,1,Moderate
0.0254,26.5,65,86.16112142531432,1,Moderate
0.0254,26.5,65,86.16112142531432,1,Moderate
0.024,26.5,65,86.500268712136,1,Moderate
0.024,26.5,65,86.500268712136,1,Moderate
